areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,England,E92000001,2023-06-30,17,193469
nation,England,E92000001,2023-06-29,11,193452
nation,England,E92000001,2023-06-28,4,193441
nation,England,E92000001,2023-06-27,13,193437
nation,England,E92000001,2023-06-26,10,193424
nation,England,E92000001,2023-06-25,19,193414
nation,England,E92000001,2023-06-24,11,193395
nation,England,E92000001,2023-06-23,11,193384
nation,England,E92000001,2023-06-22,9,193373
nation,England,E92000001,2023-06-21,14,193364
nation,England,E92000001,2023-06-20,17,193350
nation,England,E92000001,2023-06-19,16,193333
nation,England,E92000001,2023-06-18,14,193317
nation,England,E92000001,2023-06-17,13,193303
nation,England,E92000001,2023-06-16,19,193290
nation,England,E92000001,2023-06-15,19,193271
nation,England,E92000001,2023-06-14,22,193252
nation,England,E92000001,2023-06-13,21,193230
nation,England,E92000001,2023-06-12,25,193209
nation,England,E92000001,2023-06-11,24,193184
nation,England,E92000001,2023-06-10,19,193160
nation,England,E92000001,2023-06-09,18,193141
nation,England,E92000001,2023-06-08,22,193123
nation,England,E92000001,2023-06-07,19,193101
nation,England,E92000001,2023-06-06,20,193082
nation,England,E92000001,2023-06-05,16,193062
nation,England,E92000001,2023-06-04,22,193046
nation,England,E92000001,2023-06-03,30,193024
nation,England,E92000001,2023-06-02,19,192994
nation,England,E92000001,2023-06-01,26,192975
nation,England,E92000001,2023-05-31,19,192949
nation,England,E92000001,2023-05-30,29,192930
nation,England,E92000001,2023-05-29,21,192901
nation,England,E92000001,2023-05-28,20,192880
nation,England,E92000001,2023-05-27,31,192860
nation,England,E92000001,2023-05-26,32,192829
nation,England,E92000001,2023-05-25,21,192797
nation,England,E92000001,2023-05-24,28,192776
nation,England,E92000001,2023-05-23,30,192748
nation,England,E92000001,2023-05-22,34,192718
nation,England,E92000001,2023-05-21,24,192684
nation,England,E92000001,2023-05-20,25,192660
nation,England,E92000001,2023-05-19,39,192635
nation,England,E92000001,2023-05-18,32,192596
nation,England,E92000001,2023-05-17,45,192564
nation,England,E92000001,2023-05-16,43,192519
nation,England,E92000001,2023-05-15,25,192476
nation,England,E92000001,2023-05-14,26,192451
nation,England,E92000001,2023-05-13,26,192425
nation,England,E92000001,2023-05-12,40,192399
nation,England,E92000001,2023-05-11,43,192359
nation,England,E92000001,2023-05-10,33,192316
nation,England,E92000001,2023-05-09,32,192283
nation,England,E92000001,2023-05-08,34,192251
nation,England,E92000001,2023-05-07,43,192217
nation,England,E92000001,2023-05-06,37,192174
nation,England,E92000001,2023-05-05,38,192137
nation,England,E92000001,2023-05-04,42,192099
nation,England,E92000001,2023-05-03,43,192057
nation,England,E92000001,2023-05-02,41,192014
nation,England,E92000001,2023-05-01,43,191973
nation,England,E92000001,2023-04-30,32,191930
nation,England,E92000001,2023-04-29,41,191898
nation,England,E92000001,2023-04-28,39,191857
nation,England,E92000001,2023-04-27,42,191818
nation,England,E92000001,2023-04-26,48,191776
nation,England,E92000001,2023-04-25,44,191728
nation,England,E92000001,2023-04-24,40,191684
nation,England,E92000001,2023-04-23,52,191644
nation,England,E92000001,2023-04-22,45,191592
nation,England,E92000001,2023-04-21,71,191547
nation,England,E92000001,2023-04-20,54,191476
nation,England,E92000001,2023-04-19,63,191422
nation,England,E92000001,2023-04-18,54,191359
nation,England,E92000001,2023-04-17,52,191305
nation,England,E92000001,2023-04-16,57,191253
nation,England,E92000001,2023-04-15,60,191196
nation,England,E92000001,2023-04-14,61,191136
nation,England,E92000001,2023-04-13,75,191075
nation,England,E92000001,2023-04-12,64,191000
nation,England,E92000001,2023-04-11,57,190936
nation,England,E92000001,2023-04-10,66,190879
nation,England,E92000001,2023-04-09,55,190813
nation,England,E92000001,2023-04-08,58,190758
nation,England,E92000001,2023-04-07,76,190700
nation,England,E92000001,2023-04-06,86,190624
nation,England,E92000001,2023-04-05,50,190538
nation,England,E92000001,2023-04-04,81,190488
nation,England,E92000001,2023-04-03,79,190407
nation,England,E92000001,2023-04-02,60,190328
nation,England,E92000001,2023-04-01,59,190268
nation,England,E92000001,2023-03-31,62,190209
nation,England,E92000001,2023-03-30,86,190147
nation,England,E92000001,2023-03-29,77,190061
nation,England,E92000001,2023-03-28,95,189984
nation,England,E92000001,2023-03-27,85,189889
nation,England,E92000001,2023-03-26,69,189804
nation,England,E92000001,2023-03-25,94,189735
nation,England,E92000001,2023-03-24,94,189641
nation,England,E92000001,2023-03-23,90,189547
nation,England,E92000001,2023-03-22,82,189457
nation,England,E92000001,2023-03-21,101,189375
nation,England,E92000001,2023-03-20,72,189274
nation,England,E92000001,2023-03-19,75,189202
nation,England,E92000001,2023-03-18,80,189127
nation,England,E92000001,2023-03-17,94,189047
nation,England,E92000001,2023-03-16,81,188953
nation,England,E92000001,2023-03-15,91,188872
nation,England,E92000001,2023-03-14,80,188781
nation,England,E92000001,2023-03-13,86,188701
nation,England,E92000001,2023-03-12,81,188615
nation,England,E92000001,2023-03-11,80,188534
nation,England,E92000001,2023-03-10,77,188454
nation,England,E92000001,2023-03-09,77,188377
nation,England,E92000001,2023-03-08,77,188300
nation,England,E92000001,2023-03-07,76,188223
nation,England,E92000001,2023-03-06,77,188147
nation,England,E92000001,2023-03-05,83,188070
nation,England,E92000001,2023-03-04,82,187987
nation,England,E92000001,2023-03-03,61,187905
nation,England,E92000001,2023-03-02,89,187844
nation,England,E92000001,2023-03-01,63,187755
nation,England,E92000001,2023-02-28,70,187692
nation,England,E92000001,2023-02-27,70,187622
nation,England,E92000001,2023-02-26,78,187552
nation,England,E92000001,2023-02-25,64,187474
