,date,totalAdmissions,totalBeds,newHospAdmission,mecVent,dailyCases,cumulativeCases,Vax_index,totalAdmissions_ewma_3,totalAdmissions_ewma_7,totalAdmissions_ewma_14,totalBeds_ewma_3,totalBeds_ewma_7,totalBeds_ewma_14,newHospAdmission_ewma_3,newHospAdmission_ewma_7,newHospAdmission_ewma_14,dailyCases_ewma_3,dailyCases_ewma_7,dailyCases_ewma_14,cumulativeCases_ewma_3,cumulativeCases_ewma_7,cumulativeCases_ewma_14
0,2020-08-01,50,879,36,74,508,265203,0.32999999999999996,50.0,50.0,50.0,879.0,879.0,879.0,36.0,36.0,36.0,508.0,508.0,508.0,265203.0,265203.0,265203.0
1,2020-08-02,57,847,45,72,518,265721,0.32999999999999996,54.666666666666664,54.0,53.75000000000001,857.6666666666666,860.7142857142857,861.8571428571429,42.0,41.142857142857146,40.82142857142857,514.6666666666666,513.7142857142857,513.3571428571429,265548.3333333333,265499.0,265480.5
2,2020-08-03,74,842,66,67,963,266684,0.32999999999999996,65.71428571428571,62.648648648648646,61.48556876061122,848.7142857142857,852.6216216216217,854.2716468590831,55.714285714285715,51.891891891891895,50.43972835314092,770.8571428571429,708.0,685.1222410865876,266197.28571428574,266011.4324324324,265940.2410865875
3,2020-08-04,58,807,47,65,965,267649,0.32999999999999996,61.6,60.94857142857143,60.41923495286441,826.4666666666667,835.9371428571428,839.8099166062364,51.06666666666667,50.10285714285714,49.38741841914431,874.4,801.9885714285714,770.7447425670777,266971.5333333333,266610.3142857143,266462.9986403191
4,2020-08-05,60,805,52,63,973,268622,0.32999999999999996,60.774193548387096,60.63764404609475,60.30985719512888,815.3870967741935,825.7964148527528,830.7280626259399,51.54838709677419,50.7247119078105,50.06903695610722,925.2903225806451,858.0435339308578,823.5128297627821,267823.3870967742,267269.71446863,267026.2787915956
5,2020-08-06,52,756,43,61,1005,269627,0.32999999999999996,56.317460317460316,58.01069201069201,58.38710439171361,785.2222222222222,804.5693495693496,813.4373212168044,47.20634920634921,48.37540837540838,48.43338783415014,965.7777777777778,902.7371547371547,865.5057253280713,268739.50793650793,267986.6317196317,267628.0393124975
6,2020-08-07,60,711,48,57,892,270519,0.32999999999999996,58.173228346456696,58.58463055575122,58.72697569378277,747.8188976377953,777.5735014439671,791.8516057101314,47.60629921259842,48.26709868282031,48.342063828593425,928.5984251968504,899.6393604282595,871.0886307460439,269636.2598425197,268717.2494893287,268237.2260249197
7,2020-08-08,78,650,49,55,648,271167,0.32999999999999996,68.12549019607843,63.97846545146248,62.496495449565906,698.7176470588236,742.1319711742264,764.1075204218972,48.305882352941175,48.47070792708775,48.47074645550016,787.7490196078431,829.7307672742687,827.4557795895937,270404.63137254905,269397.8211275964,268810.24667303264
8,2020-08-09,53,611,46,56,569,271736,0.32999999999999996,60.54794520547945,61.01104095091582,60.74796988808105,654.7729941291585,706.6876528596351,735.916866876595,47.15068493150685,47.802887887124115,48.015824599713085,678.160469667319,759.2565402270881,779.8680626759234,271071.6183953033,270029.8192245351,269348.94587064406
9,2020-08-10,50,714,39,60,1375,273111,0.32999999999999996,55.26881720430107,58.09401259389587,58.864671358132085,684.4154447702834,708.6248288323613,732.076513433146,43.0713587487781,45.47084010845586,46.436038892111995,1026.9208211143696,922.3783686549231,884.1492538552025,272092.30596285436,270846.0809871787,270008.14673231205
10,2020-08-11,63,672,58,63,1247,274358,0.32999999999999996,59.13629702002931,59.37459501831768,59.560145125504086,678.2046897899365,699.0648548214571,721.9729297167495,50.53932584269663,48.74125656527738,48.380849642101964,1137.0141670737664,1007.1125355568628,945.1729831085748,273225.70639960916,271762.7775441687,270739.69895018556
11,2020-08-12,51,642,46,68,1126,275484,0.32999999999999996,55.06715506715507,57.21245763898614,58.16898719606952,660.0979242979244,684.3319566471898,708.976073508775,48.26910866910867,48.03352403932715,47.99392420919856,1131.5057387057386,1037.80668019839,974.5602113291584,274355.12893772894,272723.51584267296,271510.7223298488
12,2020-08-13,60,652,41,64,1036,276520,0.32999999999999996,57.533878647295815,57.9263022235018,58.45811799404919,656.0484678305457,676.0522646567882,699.9791197114132,44.63411060920522,46.23235211248752,46.889530573460945,1083.7470394335246,1037.3440185744414,984.2620195786528,275437.6966182395,273695.7341285044,272301.7252365262
13,2020-08-14,55,642,43,63,1059,277579,0.32999999999999996,56.26686199108833,57.181455018855935,57.92515218797176,649.0238051638894,667.384761369613,691.0433667018779,43.817005432460476,45.40960440854859,46.2900753782031,1071.3727644509552,1042.8562302315775,995.7806514033645,276508.4136605017,274684.1623592081,273115.059831542
14,2020-08-15,38,630,33,68,656,278235,0.32999999999999996,47.13315225684378,52.32114064247609,54.91681774529703,639.5116122928556,657.9119819082196,681.8269320762522,38.408337656788845,42.26518295288923,44.2835164757257,863.6800439466537,944.8322328060269,944.4799723958407,277371.73317667167,275583.89531568956,273888.07738282095
15,2020-08-16,39,634,33,69,534,278769,0.32999999999999996,43.0665140764477,48.95713945785547,52.55534493820097,636.7557640955215,651.8734648153676,674.7311669960577,35.70412756542306,39.92543688565961,42.60945588445457,698.837506675822,841.084351529779,883.5797781370521,278070.3772487984,276388.23303861666,274612.22753761016
16,2020-08-17,46,626,37,67,1159,279928,0.32999999999999996,44.53326822866996,48.21225533908507,51.59717319755389,631.3778410174638,645.3561079868504,667.6083035091532,36.352068726110275,39.18853843780173,41.78954142387916,928.9205087319086,921.1652273318947,923.8369844137137,278999.19571072166,277279.8772208612,275389.21532409417
17,2020-08-18,56,597,48,64,955,280883,0.32999999999999996,50.26665598547358,50.17022999784981,52.23256484545613,614.1888549379537,633.1985401469694,657.4185031069804,42.17605657980568,41.40389335718566,42.68580050604829,941.9603041088261,929.6718785324276,928.3342587139366,279941.1014484461,278185.76504861424,276182.0479870789
18,2020-08-19,58,571,47,63,1109,281992,0.32999999999999996,54.13333536784242,52.1359842629132,53.055848636485464,592.5943862807966,617.5828776765463,645.0825251641783,44.58803289038256,42.80886061648458,43.30163933552158,1025.4803113561848,974.6942763198313,954.1237426716247,280966.55268011603,279141.3643302617,277011.4009300639
19,2020-08-20,45,551,34,64,1254,283246,0.32999999999999996,49.56666332880338,50.34631276957847,51.916625012395784,571.7971733066304,600.8842032216138,631.7777772577175,39.29401139641895,40.59963955415483,41.9862413244672,1139.7402646448752,1044.7428461006677,996.5309591012925,282106.2774269842,280170.78776759095,277893.0712378985
20,2020-08-21,49,528,37,64,1031,284277,0.32999999999999996,49.28333152929856,50.00893214809273,51.50747529595011,549.8985762112504,582.6197119867134,617.2196328415181,38.14700515127428,39.697584209106274,41.28676188663585,1085.3701063967258,1041.298943566877,1001.3663418638768,283191.639231033,281199.7882095583,278788.6209337703
21,2020-08-22,25,594,22,66,732,285009,0.32999999999999996,37.14166286984989,43.745526405843684,47.81461623288772,571.9492933629258,585.469868117682,613.9848158465974,30.073500650763666,35.26528178600158,38.59984837884241,908.6850110733535,963.8360288075963,963.8398733590487,284100.3198321628,282153.7929171729,279655.20603680046
22,2020-08-23,44,522,42,65,704,285713,0.32999999999999996,40.57083184371374,43.809230030598,47.28634660692823,546.9746437042527,569.5811442790467,601.2462384132261,36.036751036256675,36.95121687625329,39.07072060174876,806.3424933364979,898.7899994476983,927.855778412534,284906.66001220467,283044.78670841095,280494.1235990677
23,2020-08-24,41,522,31,62,1156,286869,0.32999999999999996,40.78541593464708,43.10621712593195,46.42024024041837,534.487321107824,557.6739105948666,590.3280253551028,33.51837536802145,35.4619183079969,37.95877069943301,981.1712570888553,963.1570849579363,959.2885286496218,285887.8300645846,284001.80029038887,281372.4272278361
24,2020-08-25,60,500,49,62,1085,287954,0.32999999999999996,50.392708253643164,47.33284356452543,48.282927455593736,517.2436600400108,543.244574243473,577.938052264285,41.25918791470492,38.84898764787175,39.473256744996114,1033.0856300915966,993.6407540041738,976.5319228355913,286920.91506308067,284990.59432827635,282275.19809238
25,2020-08-26,52,485,38,55,1181,289135,0.32999999999999996,51.196354138796835,48.50029158992477,48.790838167213074,501.1218297797714,528.675207621449,565.2387487941106,39.629593933069614,38.63662087448428,39.27194701191731,1107.0428161478462,1040.5070171779505,1004.4709865302982,288027.95754803653,286027.2808599579,283212.53973068355
26,2020-08-27,69,492,59,62,1356,290491,0.32999999999999996,60.09817713572217,53.6273890219865,51.54316360151789,496.56091485590423,519.5025228663895,555.2642197784808,49.3147970386952,43.729621552055775,41.95874928791874,1231.521409001361,1119.4136645166718,1052.3464131647197,289259.4787831938,287143.68322444754,284203.8075273181
27,2020-08-28,44,469,35,52,1395,291886,0.32999999999999996,52.049088537875896,51.21977739970619,50.51877369036397,482.7804573766159,506.8728825007707,543.5492151593502,42.15739849268421,41.54652307552808,41.01372503266343,1313.260704805183,1188.3321285712589,1098.8800555351609,290572.73939648917,288329.63893469045,285247.0780806671
28,2020-08-29,52,478,49,56,1051,292937,0.32999999999999996,52.02454426889223,51.41487950543542,50.71943406430213,480.3902286838558,499.65294273966674,534.6693229108391,45.57869925271478,43.41033609814641,42.0956184009445,1182.1303521583422,1153.9909194619086,1092.3937881867057,291754.8697004465,289481.7535303947,286288.8247724793
29,2020-08-30,38,479,33,52,987,293924,0.32999999999999996,45.01227212791543,48.06056060779673,49.000016211315376,479.69511434128054,494.48878482863637,527.1439230233377,39.289349620499976,40.80728721569956,40.866069304382805,1084.5651759883065,1112.235732867934,1078.1466164897574,292839.4348512333,290592.5135096348,287320.95061475446
30,2020-08-31,52,495,43,54,1279,295203,0.32999999999999996,48.50613606558467,49.045552382264965,49.404807475754374,487.3475571742037,494.61660574137164,522.8067065044605,41.14467481111394,41.35553884271579,41.15400302847897,1181.7825880394237,1153.9323843573327,1105.2479946320743,294021.217426167,291745.28953108966,288384.4846075241
31,2020-09-01,58,496,51,59,1962,297165,0.32999999999999996,53.25306803389757,51.28438918328618,50.562716565667294,491.67377858810914,494.9624890508462,519.1954169324603,46.07233740670428,43.7668963587486,42.480415364260814,1571.8912941105411,1355.9695833947287,1220.6661114477547,295593.10871344944,293100.35326775664,289567.3596342776
32,2020-09-02,79,451,70,59,2696,299861,0.32999999999999996,66.12653401844746,58.2138139456093,54.388381541123515,471.33688929168704,483.97103869974717,510.02109412319476,58.03616870474492,50.32566640233192,46.18262240957034,2133.9456471207022,1691.0024286925513,1419.1426360275857,297727.05435697315,294790.64229604224,290952.16207182483
33,2020-09-03,69,468,58,58,2716,302577,0.32999999999999996,67.56326700930735,60.91051283480096,56.35173186671211,469.6684446457464,479.97805340321474,504.37475665136986,58.0180843523714,52.244358216450344,47.77051304639973,2424.9728235772914,1947.26630157872,1593.4002198101957,300152.02717862773,296737.3417192887,292514.18132352055
34,2020-09-04,67,474,56,54,2637,305214,0.32999999999999996,67.28163350464548,62.43294914446554,57.78104982407507,471.8342223229362,478.4834767146915,500.2975504250718,57.009042176156335,53.18330845351559,48.87515779570819,2530.986411791731,2119.707033940699,1733.4827090426256,302683.0135893875,298856.59610000666,294218.8790886717
