,date,covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions,areaName,dailyCases,cumulativeCases,population
0,2020-04-02,1494.0,26264,12135.0,2932,England,4097,41174,"56,536,419"
1,2020-04-03,1788.0,28828,13635.0,2564,England,4102,45276,"56,536,419"
2,2020-04-04,1950.0,31421,15469.0,2593,England,3405,48681,"56,536,419"
3,2020-04-05,2097.0,34013,16657.0,2592,England,3094,51775,"56,536,419"
4,2020-04-06,2264.0,36692,17154.0,2679,England,4407,56182,"56,536,419"
5,2020-04-07,2472.0,39436,17814.0,2744,England,4605,60787,"56,536,419"
6,2020-04-08,2561.0,42055,18152.0,2619,England,4315,65102,"56,536,419"
7,2020-04-09,2546.0,44395,18423.0,2340,England,4076,69178,"56,536,419"
8,2020-04-10,2820.0,46591,18669.0,2196,England,3590,72768,"56,536,419"
9,2020-04-11,2865.0,48546,18604.0,1955,England,3085,75853,"56,536,419"
10,2020-04-12,2881.0,50337,18974.0,1791,England,2958,78811,"56,536,419"
11,2020-04-13,2872.0,52249,18621.0,1912,England,3463,82274,"56,536,419"
12,2020-04-14,2849.0,54108,18552.0,1859,England,3568,85842,"56,536,419"
13,2020-04-15,2847.0,55716,17934.0,1608,England,4240,90082,"56,536,419"
14,2020-04-16,2838.0,57493,17783.0,1777,England,4360,94442,"56,536,419"
15,2020-04-17,2780.0,59167,16728.0,1674,England,4088,98530,"56,536,419"
16,2020-04-18,2868.0,60578,16850.0,1411,England,4142,102672,"56,536,419"
17,2020-04-19,2820.0,62053,16928.0,1475,England,3494,106166,"56,536,419"
18,2020-04-20,2780.0,63575,16654.0,1522,England,3698,109864,"56,536,419"
19,2020-04-21,2701.0,65070,16517.0,1495,England,3996,113860,"56,536,419"
20,2020-04-22,2646.0,66380,16018.0,1310,England,4812,118672,"56,536,419"
21,2020-04-23,2563.0,67669,15402.0,1289,England,4574,123246,"56,536,419"
22,2020-04-24,2414.0,68946,14642.0,1277,England,4352,127598,"56,536,419"
23,2020-04-25,2405.0,70026,14202.0,1080,England,3381,130979,"56,536,419"
24,2020-04-26,2309.0,71234,14174.0,1208,England,3137,134116,"56,536,419"
25,2020-04-27,2194.0,72578,14255.0,1344,England,4056,138172,"56,536,419"
26,2020-04-28,2093.0,73874,13565.0,1296,England,4113,142285,"56,536,419"
27,2020-04-29,2045.0,75169,13224.0,1295,England,4737,147022,"56,536,419"
28,2020-04-30,1991.0,76396,12922.0,1227,England,4314,151336,"56,536,419"
29,2020-05-01,1954.0,77477,12623.0,1081,England,4109,155445,"56,536,419"
30,2020-05-02,1844.0,78457,12314.0,980,England,2762,158207,"56,536,419"
31,2020-05-03,1795.0,79501,12119.0,1044,England,2648,160855,"56,536,419"
32,2020-05-04,1724.0,80564,12020.0,1063,England,2851,163706,"56,536,419"
33,2020-05-05,1662.0,81523,11754.0,959,England,3148,166854,"56,536,419"
34,2020-05-06,1610.0,82563,11227.0,1040,England,3264,170118,"56,536,419"
35,2020-05-07,1493.0,83561,10726.0,998,England,3205,173323,"56,536,419"
36,2020-05-08,1446.0,84304,10249.0,743,England,2622,175945,"56,536,419"
37,2020-05-09,1398.0,85102,10176.0,798,England,1797,177742,"56,536,419"
38,2020-05-10,1362.0,85858,9893.0,756,England,2013,179755,"56,536,419"
39,2020-05-11,1316.0,86724,10109.0,866,England,3088,182843,"56,536,419"
40,2020-05-12,1247.0,87568,9791.0,844,England,2940,185783,"56,536,419"
41,2020-05-13,1198.0,88372,9602.0,804,England,2899,188682,"56,536,419"
42,2020-05-14,1162.0,89135,9231.0,763,England,2222,190904,"56,536,419"
43,2020-05-15,1200.0,89873,9079.0,738,England,2145,193049,"56,536,419"
44,2020-05-16,1101.0,90544,8643.0,671,England,1781,194830,"56,536,419"
45,2020-05-17,1064.0,91217,8611.0,673,England,1593,196423,"56,536,419"
46,2020-05-18,1010.0,91950,8668.0,733,England,2226,198649,"56,536,419"
47,2020-05-19,976.0,92702,8518.0,752,England,2602,201251,"56,536,419"
48,2020-05-20,921.0,93434,8115.0,732,England,2359,203610,"56,536,419"
49,2020-05-21,894.0,94149,7903.0,715,England,2277,205887,"56,536,419"
