date,newHospCase,MV_beds,total_admission,total_beds
01-Aug-20,36,74,50,879
02-Aug-20,45,72,57,847
03-Aug-20,66,67,74,842
04-Aug-20,47,65,58,807
05-Aug-20,52,63,60,805
06-Aug-20,43,61,52,756
07-Aug-20,48,57,60,711
08-Aug-20,49,55,78,650
09-Aug-20,46,56,53,611
10-Aug-20,39,60,50,714
11-Aug-20,58,63,63,672
12-Aug-20,46,68,51,642
13-Aug-20,41,64,60,652
14-Aug-20,43,63,55,642
15-Aug-20,33,68,38,630
16-Aug-20,33,69,39,634
17-Aug-20,37,67,46,626
18-Aug-20,48,64,56,597
19-Aug-20,47,63,58,571
20-Aug-20,34,64,45,551
21-Aug-20,37,64,49,528
22-Aug-20,22,66,25,594
23-Aug-20,42,65,44,522
24-Aug-20,31,62,41,522
25-Aug-20,49,62,60,500
26-Aug-20,38,55,52,485
27-Aug-20,59,62,69,492
28-Aug-20,35,52,44,469
29-Aug-20,49,56,52,478
30-Aug-20,33,52,38,479
31-Aug-20,43,54,52,495
01-Sep-20,51,59,58,496
02-Sep-20,70,59,79,451
03-Sep-20,58,58,69,468
04-Sep-20,56,54,67,474
05-Sep-20,79,50,94,471
06-Sep-20,67,52,85,483
07-Sep-20,71,62,84,555
08-Sep-20,86,64,99,535
09-Sep-20,124,64,136,557
10-Sep-20,124,62,143,572
11-Sep-20,119,129,135,622
12-Sep-20,131,70,143,663
13-Sep-20,136,74,153,691
14-Sep-20,156,88,172,812
15-Sep-20,165,101,194,891
16-Sep-20,167,107,183,929
17-Sep-20,181,108,199,984
18-Sep-20,179,115,205,"1,020"
19-Sep-20,185,123,204,"1,081"
20-Sep-20,221,142,237,"1,174"
21-Sep-20,259,154,275,"1,299"
22-Sep-20,247,179,268,"1,378"
23-Sep-20,290,192,314,"1,439"
24-Sep-20,259,209,288,"1,546"
25-Sep-20,247,227,274,"1,686"
26-Sep-20,215,223,245,"1,689"
27-Sep-20,223,233,241,"1,793"
28-Sep-20,280,245,308,"1,955"
29-Sep-20,287,259,310,"1,954"
30-Sep-20,302,282,328,"2,036"
01-Oct-20,333,285,368,"2,069"
02-Oct-20,332,311,371,"2,180"
03-Oct-20,353,307,386,"2,290"
04-Oct-20,451,310,478,"2,435"
05-Oct-20,432,331,472,"2,705"
06-Oct-20,494,349,524,"2,903"
07-Oct-20,447,376,491,"3,066"
08-Oct-20,467,368,513,"3,179"
09-Oct-20,494,367,544,"3,238"
10-Oct-20,487,396,515,"3,369"
11-Oct-20,589,401,628,"3,604"
12-Oct-20,640,426,664,"3,827"
13-Oct-20,727,441,764,"4,105"
14-Oct-20,682,468,706,"4,313"
15-Oct-20,765,482,792,"4,569"
16-Oct-20,600,482,632,"4,854"
17-Oct-20,754,495,785,"5,029"
18-Oct-20,841,504,870,"5,202"
19-Oct-20,825,529,861,"5,644"
20-Oct-20,881,560,925,"6,072"
21-Oct-20,950,572,997,"6,271"
22-Oct-20,956,564,987,"6,345"
23-Oct-20,952,602,997,"6,842"
24-Oct-20,951,632,990,"7,176"
25-Oct-20,"1,146",663,1186,"7,612"
26-Oct-20,"1,224",682,1279,"7,856"
27-Oct-20,"1,138",743,1190,"8,595"
28-Oct-20,"1,200",788,1239,"9,070"
29-Oct-20,"1,289",803,1345,"9,127"
30-Oct-20,"1,057",801,1109,"9,295"
31-Oct-20,"1,181",816,1240,"9,782"
01-Nov-20,"1,248",804,1280,"9,623"
02-Nov-20,"1,280",883,1331,"10,397"
03-Nov-20,"1,189",954,1246,"10,971"
04-Nov-20,"1,342",997,1382,"11,037"
05-Nov-20,"1,277",986,1346,"10,994"
06-Nov-20,"1,116",984,1182,"11,181"
07-Nov-20,"1,259","1,003",1319,"11,514"
08-Nov-20,"1,444","1,017",1488,"11,680"
09-Nov-20,"1,464","1,048",1551,"12,259"
10-Nov-20,"1,529","1,010",1592,"12,033"
11-Nov-20,"1,628","1,081",1711,"12,730"
12-Nov-20,"1,611","1,088",1666,"12,967"
13-Nov-20,"1,368","1,158",1433,"13,328"
14-Nov-20,"1,310","1,162",1388,"13,399"
15-Nov-20,"1,406","1,194",1467,"13,886"
16-Nov-20,"1,494","1,198",1560,"14,313"
17-Nov-20,"1,424","1,228",1491,"14,411"
18-Nov-20,"1,493","1,242",1571,"14,490"
19-Nov-20,"1,388","1,241",1484,"14,479"
20-Nov-20,"1,223","1,241",1316,"14,236"
21-Nov-20,"1,197","1,248",1255,"14,118"
22-Nov-20,"1,283","1,259",1333,"14,354"
23-Nov-20,"1,321","1,299",1385,"14,712"
24-Nov-20,"1,215","1,306",1277,"14,506"
25-Nov-20,"1,335","1,300",1415,"14,240"
26-Nov-20,"1,135","1,264",1198,"13,908"
27-Nov-20,988,"1,242",1055,"13,754"
28-Nov-20,998,"1,204",1065,"13,208"
29-Nov-20,"1,155","1,214",1215,"13,521"
30-Nov-20,"1,155","1,185",1216,"13,756"
01-Dec-20,"1,207","1,182",1271,"13,507"
02-Dec-20,"1,189","1,149",1262,"13,212"
03-Dec-20,"1,276","1,094",1337,"12,896"
04-Dec-20,"1,165","1,113",1248,"12,987"
05-Dec-20,"1,118","1,086",1186,"12,968"
06-Dec-20,"1,282","1,087",1311,"13,189"
07-Dec-20,"1,421","1,109",1466,"13,616"
08-Dec-20,"1,456","1,118",1528,"13,629"
09-Dec-20,"1,481","1,094",1550,"13,467"
10-Dec-20,"1,459","1,110",1524,"13,796"
11-Dec-20,"1,380","1,117",1450,"13,901"
12-Dec-20,"1,522","1,087",1587,"13,927"
13-Dec-20,"1,516","1,123",1581,"14,460"
14-Dec-20,"1,680","1,127",1746,"15,053"
15-Dec-20,"1,644","1,159",1730,"15,031"
16-Dec-20,"1,729","1,163",1796,"15,465"
17-Dec-20,"1,809","1,188",1873,"15,741"
18-Dec-20,"1,606","1,190",1672,"15,866"
19-Dec-20,"1,731","1,239",1812,"16,183"
20-Dec-20,"1,903","1,267",1976,"16,633"
21-Dec-20,"2,047","1,327",2115,"17,709"
22-Dec-20,"2,114","1,339",2203,"18,063"
23-Dec-20,"1,886","1,374",1980,"17,834"
24-Dec-20,"1,718","1,427",1795,"18,227"
25-Dec-20,"1,871","1,437",1952,"17,701"
26-Dec-20,"2,202","1,498",2298,"18,350"
27-Dec-20,"2,476","1,556",2572,"19,277"
28-Dec-20,"2,691","1,641",2795,"20,426"
29-Dec-20,"2,782","1,728",2886,"21,787"
30-Dec-20,"2,772","1,854",2861,"22,713"
31-Dec-20,"2,445","1,899",2536,"22,728"
01-Jan-21,"2,904","1,940",3010,"22,534"
02-Jan-21,"3,018","2,017",3145,"23,557"
03-Jan-21,"3,254","2,181",3351,"24,957"
04-Jan-21,"3,484","2,310",3587,"26,626"
05-Jan-21,"3,582","2,378",3697,"26,467"
06-Jan-21,"3,842","2,550",3967,"27,727"
07-Jan-21,"3,715","2,654",3849,"28,246"
08-Jan-21,"3,420","2,814",3549,"29,346"
09-Jan-21,"3,596","2,860",3718,"29,462"
10-Jan-21,"3,464","2,963",3571,"30,758"
11-Jan-21,"3,742","3,055",3894,"32,070"
12-Jan-21,"3,970","3,175",4134,"32,202"
13-Jan-21,"3,704","3,307",3840,"32,689"
14-Jan-21,"3,513","3,351",3678,"32,925"
15-Jan-21,"3,125","3,464",3295,"33,362"
16-Jan-21,"3,406","3,525",3569,"32,923"
17-Jan-21,"3,289","3,533",3424,"33,352"
18-Jan-21,"3,561","3,570",3711,"34,336"
19-Jan-21,"3,569","3,603",3768,"34,015"
20-Jan-21,"3,483","3,603",3679,"33,886"
21-Jan-21,"3,050","3,607",3237,"33,235"
22-Jan-21,"2,802","3,727",3016,"33,412"
