date,newHospCase,MV_beds,total_admission,total_beds
01-Aug-20,1,9,2,85
02-Aug-20,6,9,7,80
03-Aug-20,6,8,7,73
04-Aug-20,5,8,5,69
05-Aug-20,4,8,5,70
06-Aug-20,3,9,4,72
07-Aug-20,8,9,10,60
08-Aug-20,6,11,6,59
09-Aug-20,3,9,3,59
10-Aug-20,4,8,8,63
11-Aug-20,5,8,7,61
12-Aug-20,1,8,1,56
13-Aug-20,4,9,6,57
14-Aug-20,5,6,8,52
15-Aug-20,2,8,2,60
16-Aug-20,3,7,4,54
17-Aug-20,5,8,5,57
18-Aug-20,2,6,4,47
19-Aug-20,3,6,4,49
20-Aug-20,2,6,2,47
21-Aug-20,3,6,3,40
22-Aug-20,1,7,2,34
23-Aug-20,2,5,2,31
24-Aug-20,0,5,0,35
25-Aug-20,5,5,8,28
26-Aug-20,4,5,4,37
27-Aug-20,2,5,3,29
28-Aug-20,2,4,3,30
29-Aug-20,4,4,5,30
30-Aug-20,1,3,1,30
31-Aug-20,0,3,0,31
01-Sep-20,2,3,2,31
02-Sep-20,8,3,8,31
03-Sep-20,5,3,5,31
04-Sep-20,2,1,2,30
05-Sep-20,5,1,6,25
06-Sep-20,1,1,1,27
07-Sep-20,5,1,5,27
08-Sep-20,1,1,2,25
09-Sep-20,3,4,5,31
10-Sep-20,5,2,5,27
11-Sep-20,6,67,6,15
12-Sep-20,10,2,11,20
13-Sep-20,4,2,4,21
14-Sep-20,11,3,11,25
15-Sep-20,12,3,13,35
16-Sep-20,8,3,8,40
17-Sep-20,6,3,6,42
18-Sep-20,2,2,4,37
19-Sep-20,4,3,4,39
20-Sep-20,6,2,6,38
21-Sep-20,5,3,7,41
22-Sep-20,10,3,11,42
23-Sep-20,7,2,7,37
24-Sep-20,13,4,13,41
25-Sep-20,15,3,16,45
26-Sep-20,11,5,12,52
27-Sep-20,15,6,15,64
28-Sep-20,11,9,13,76
29-Sep-20,7,12,10,89
30-Sep-20,17,13,18,86
01-Oct-20,11,12,11,79
02-Oct-20,13,14,19,93
03-Oct-20,17,13,19,101
04-Oct-20,15,14,16,98
05-Oct-20,18,13,23,115
06-Oct-20,8,12,11,119
07-Oct-20,14,13,17,128
08-Oct-20,18,12,23,119
09-Oct-20,17,15,19,135
10-Oct-20,15,17,16,135
11-Oct-20,26,16,27,140
12-Oct-20,23,16,24,149
13-Oct-20,26,20,32,166
14-Oct-20,27,19,27,183
15-Oct-20,39,18,41,217
16-Oct-20,20,19,23,223
17-Oct-20,34,21,37,241
18-Oct-20,40,23,41,241
19-Oct-20,40,21,43,277
20-Oct-20,29,25,33,295
21-Oct-20,49,28,50,314
22-Oct-20,49,25,51,334
23-Oct-20,52,28,56,343
24-Oct-20,38,29,42,356
25-Oct-20,61,30,62,406
26-Oct-20,51,34,55,419
27-Oct-20,50,41,51,454
28-Oct-20,68,42,68,474
29-Oct-20,68,49,68,476
30-Oct-20,66,49,67,501
31-Oct-20,54,51,56,505
01-Nov-20,66,50,67,527
02-Nov-20,53,54,55,555
03-Nov-20,73,63,76,598
04-Nov-20,84,65,87,595
05-Nov-20,64,60,67,611
06-Nov-20,55,61,61,620
