date,newHospCase,MV_beds,total_admission,total_beds
01-Aug-20,4,16,5,126
02-Aug-20,8,15,10,120
03-Aug-20,2,17,2,122
04-Aug-20,5,15,5,118
05-Aug-20,9,13,12,111
06-Aug-20,7,11,7,113
07-Aug-20,5,10,7,105
08-Aug-20,2,10,2,126
09-Aug-20,10,12,10,107
10-Aug-20,9,12,9,107
11-Aug-20,16,13,18,105
12-Aug-20,3,17,5,111
13-Aug-20,8,15,9,104
14-Aug-20,7,15,8,103
15-Aug-20,3,15,4,100
16-Aug-20,6,19,7,100
17-Aug-20,2,19,2,107
18-Aug-20,6,19,6,98
19-Aug-20,4,15,7,90
20-Aug-20,6,15,6,89
21-Aug-20,4,16,5,84
22-Aug-20,3,18,3,79
23-Aug-20,8,20,8,84
24-Aug-20,5,15,6,85
25-Aug-20,9,16,9,81
26-Aug-20,4,16,5,83
27-Aug-20,3,16,5,86
28-Aug-20,10,12,11,82
29-Aug-20,6,15,6,73
30-Aug-20,6,13,6,78
31-Aug-20,5,14,6,81
01-Sep-20,5,14,6,88
02-Sep-20,9,13,11,84
03-Sep-20,13,12,15,87
04-Sep-20,9,12,11,86
05-Sep-20,19,11,23,90
06-Sep-20,10,13,12,87
07-Sep-20,5,13,5,98
08-Sep-20,9,15,11,100
09-Sep-20,16,16,17,96
10-Sep-20,15,14,19,98
11-Sep-20,11,15,13,115
12-Sep-20,17,12,19,98
13-Sep-20,23,16,23,100
14-Sep-20,27,21,31,123
15-Sep-20,22,26,26,136
16-Sep-20,21,26,25,137
17-Sep-20,27,25,28,147
18-Sep-20,38,25,41,150
19-Sep-20,27,32,32,161
20-Sep-20,35,32,38,171
21-Sep-20,41,31,44,190
22-Sep-20,32,37,35,210
23-Sep-20,32,35,36,210
24-Sep-20,45,40,47,219
25-Sep-20,29,47,36,230
26-Sep-20,26,38,28,200
27-Sep-20,23,48,23,224
28-Sep-20,26,48,28,267
29-Sep-20,32,50,36,275
30-Sep-20,29,49,31,278
01-Oct-20,48,49,50,275
02-Oct-20,33,56,37,276
03-Oct-20,37,56,38,280
04-Oct-20,24,50,27,287
05-Oct-20,43,56,47,326
06-Oct-20,41,60,43,320
07-Oct-20,44,59,46,350
08-Oct-20,38,51,39,343
09-Oct-20,51,50,55,348
10-Oct-20,50,52,51,341
11-Oct-20,49,57,50,365
12-Oct-20,66,65,69,389
13-Oct-20,69,66,73,442
14-Oct-20,75,77,76,430
15-Oct-20,77,78,78,439
16-Oct-20,66,80,67,490
17-Oct-20,85,83,87,502
18-Oct-20,92,87,95,542
19-Oct-20,87,89,90,594
20-Oct-20,86,88,89,610
21-Oct-20,113,90,114,633
22-Oct-20,105,81,108,606
23-Oct-20,118,99,125,698
24-Oct-20,108,98,108,722
25-Oct-20,112,111,118,762
26-Oct-20,148,117,155,815
27-Oct-20,107,119,109,889
28-Oct-20,108,124,112,933
29-Oct-20,133,131,140,921
30-Oct-20,121,134,126,945
31-Oct-20,128,132,132,963
01-Nov-20,133,136,134,"1,032"
02-Nov-20,129,142,136,"1,067"
03-Nov-20,98,147,103,"1,111"
04-Nov-20,122,151,123,"1,132"
05-Nov-20,108,154,118,"1,102"
06-Nov-20,91,155,101,"1,085"
07-Nov-20,106,156,109,"1,108"
08-Nov-20,149,167,150,"1,114"
09-Nov-20,131,179,136,"1,210"
10-Nov-20,141,179,147,"1,211"
11-Nov-20,131,181,134,"1,223"
12-Nov-20,149,178,152,"1,269"
13-Nov-20,130,194,136,"1,298"
14-Nov-20,127,202,139,"1,357"
15-Nov-20,168,214,170,"1,390"
16-Nov-20,152,209,154,"1,474"
17-Nov-20,146,218,152,"1,520"
18-Nov-20,175,220,179,"1,519"
19-Nov-20,165,222,173,"1,551"
20-Nov-20,111,233,116,"1,576"
21-Nov-20,160,251,165,"1,591"
22-Nov-20,139,248,145,"1,605"
23-Nov-20,142,252,147,"1,675"
24-Nov-20,125,253,131,"1,626"
25-Nov-20,193,261,200,"1,611"
26-Nov-20,148,251,155,"1,643"
27-Nov-20,121,267,124,"1,674"
28-Nov-20,102,248,107,"1,635"
29-Nov-20,149,260,154,"1,663"
30-Nov-20,138,253,146,"1,677"
01-Dec-20,157,259,160,"1,701"
02-Dec-20,151,256,162,"1,637"
03-Dec-20,149,256,156,"1,685"
04-Dec-20,155,249,170,"1,659"
05-Dec-20,135,238,141,"1,710"
06-Dec-20,177,242,179,"1,766"
07-Dec-20,202,244,210,"1,822"
08-Dec-20,199,249,203,"1,849"
09-Dec-20,236,241,248,"1,787"
10-Dec-20,227,256,235,"1,934"
11-Dec-20,260,261,277,"2,031"
12-Dec-20,234,256,246,"2,092"
13-Dec-20,277,256,287,"2,212"
14-Dec-20,282,262,292,"2,330"
15-Dec-20,319,292,332,"2,482"
16-Dec-20,246,291,252,"2,543"
17-Dec-20,353,301,366,"2,607"
18-Dec-20,345,311,357,"2,726"
19-Dec-20,396,322,404,"2,909"
20-Dec-20,399,355,413,"3,067"
21-Dec-20,487,378,505,"3,367"
22-Dec-20,493,400,508,"3,559"
23-Dec-20,492,411,511,"3,578"
24-Dec-20,481,462,492,"3,966"
25-Dec-20,563,455,578,"4,019"
26-Dec-20,586,489,607,"4,276"
27-Dec-20,606,520,629,"4,591"
28-Dec-20,726,556,739,"4,957"
29-Dec-20,659,599,679,"5,371"
30-Dec-20,658,640,681,"5,524"
31-Dec-20,685,664,708,"5,685"
01-Jan-21,765,657,796,"5,511"
02-Jan-21,797,713,828,"5,861"
03-Jan-21,845,772,865,"6,358"
04-Jan-21,805,814,830,"6,733"
05-Jan-21,886,866,913,"6,816"
06-Jan-21,953,908,977,"7,034"
07-Jan-21,793,961,820,"7,231"
08-Jan-21,786,"1,015",813,"7,277"
09-Jan-21,804,"1,020",832,"7,224"
10-Jan-21,708,"1,044",734,"7,494"
11-Jan-21,758,"1,073",795,"7,799"
12-Jan-21,831,"1,085",875,"7,606"
13-Jan-21,777,"1,138",804,"7,686"
14-Jan-21,726,"1,163",763,"7,840"
15-Jan-21,643,"1,184",670,"7,811"
16-Jan-21,736,"1,206",758,"7,571"
17-Jan-21,634,"1,203",652,"7,707"
18-Jan-21,674,"1,220",704,"7,917"
19-Jan-21,712,"1,207",742,"7,711"
20-Jan-21,637,"1,208",660,"7,588"
21-Jan-21,570,"1,217",598,"7,332"
22-Jan-21,538,"1,219",580,"7,298"
23-Jan-21,492,"1,217",520,"7,044"
24-Jan-21,519,"1,220",544,"7,030"
25-Jan-21,454,"1,200",478,"7,014"
26-Jan-21,456,"1,158",472,"6,785"
27-Jan-21,449,"1,172",485,"6,272"
28-Jan-21,438,"1,208",473,"6,393"
29-Jan-21,387,"1,131",423,"6,064"
30-Jan-21,346,"1,139",370,"5,918"
31-Jan-21,371,"1,065",394,"5,654"
01-Feb-21,386,"1,090",421,"5,881"
02-Feb-21,325,"1,075",357,"5,723"
03-Feb-21,327,"1,067",349,"5,462"
04-Feb-21,299,"1,032",329,"5,212"
05-Feb-21,262,"1,026",292,"5,066"
06-Feb-21,221,"1,016",236,"4,787"
07-Feb-21,290,977,302,"4,729"
08-Feb-21,256,951,287,"4,743"
09-Feb-21,219,934,232,"4,574"
10-Feb-21,224,905,243,"4,279"
11-Feb-21,190,888,217,"4,079"
12-Feb-21,164,859,190,"3,882"
13-Feb-21,157,865,175,"3,562"
14-Feb-21,184,855,196,"3,595"
15-Feb-21,155,834,179,"3,603"
16-Feb-21,151,790,166,"3,500"
17-Feb-21,134,749,150,"3,292"
18-Feb-21,124,706,142,"3,059"
19-Feb-21,130,705,150,"3,048"
20-Feb-21,102,667,110,"2,803"
21-Feb-21,116,667,127,"2,734"
22-Feb-21,113,653,129,"2,737"
23-Feb-21,88,552,103,"2,490"
24-Feb-21,93,604,105,"2,503"
25-Feb-21,101,577,110,"2,371"
26-Feb-21,61,556,72,"2,253"
27-Feb-21,61,540,64,"2,102"
28-Feb-21,93,455,97,"1,828"
01-Mar-21,81,511,89,"2,018"
02-Mar-21,83,485,95,"1,932"
03-Mar-21,61,479,67,"1,861"
04-Mar-21,78,458,88,"1,821"
05-Mar-21,52,448,62,"1,723"
06-Mar-21,42,417,49,"1,618"
07-Mar-21,55,393,58,"1,562"
08-Mar-21,51,379,56,"1,551"
09-Mar-21,54,358,67,"1,481"
10-Mar-21,43,339,52,"1,400"
11-Mar-21,41,336,47,"1,335"
12-Mar-21,33,310,39,"1,273"
13-Mar-21,43,308,48,"1,190"
14-Mar-21,39,308,41,"1,181"
15-Mar-21,36,298,40,"1,185"
16-Mar-21,40,287,45,"1,138"
17-Mar-21,23,274,27,"1,082"
18-Mar-21,30,260,33,"1,023"
19-Mar-21,34,237,42,986
20-Mar-21,26,211,31,941
21-Mar-21,26,209,28,928
22-Mar-21,27,198,31,922
23-Mar-21,33,195,33,876
24-Mar-21,23,190,27,840
25-Mar-21,28,169,33,811
26-Mar-21,24,159,26,799
27-Mar-21,26,159,29,742
28-Mar-21,31,153,32,737
29-Mar-21,22,158,23,733
30-Mar-21,29,154,29,717
31-Mar-21,28,153,30,689
01-Apr-21,22,147,25,668
02-Apr-21,25,137,27,652
03-Apr-21,24,134,25,630
04-Apr-21,20,130,23,637
05-Apr-21,23,129,23,636
06-Apr-21,19,126,22,601
07-Apr-21,24,121,26,577
08-Apr-21,26,122,27,569
09-Apr-21,18,118,21,561
10-Apr-21,22,115,25,538
11-Apr-21,24,113,28,520
12-Apr-21,25,111,26,520
13-Apr-21,16,110,20,521
14-Apr-21,20,106,21,513
15-Apr-21,14,102,14,498
16-Apr-21,11,105,14,501
17-Apr-21,9,103,9,476
18-Apr-21,16,104,17,467
19-Apr-21,14,106,18,460
20-Apr-21,14,107,15,439
21-Apr-21,16,96,18,453
22-Apr-21,11,91,14,423
23-Apr-21,21,91,22,418
24-Apr-21,12,93,15,403
25-Apr-21,15,91,17,375
26-Apr-21,12,85,13,376
27-Apr-21,18,80,21,368
28-Apr-21,12,78,14,353
29-Apr-21,15,73,15,339
30-Apr-21,10,71,11,315
01-May-21,10,67,12,299
02-May-21,9,69,11,308
03-May-21,10,70,11,316
04-May-21,5,69,6,292
05-May-21,15,65,17,284
06-May-21,13,61,13,283
07-May-21,13,62,15,272
08-May-21,9,58,10,275
09-May-21,16,57,16,274
10-May-21,15,59,17,281
11-May-21,15,54,17,281
12-May-21,10,56,12,275
13-May-21,14,55,15,266
14-May-21,12,51,12,251
15-May-21,10,48,11,258
16-May-21,11,47,11,261
17-May-21,15,50,19,259
18-May-21,19,47,19,245
19-May-21,14,48,14,241
20-May-21,22,49,24,248
21-May-21,10,53,13,254
22-May-21,12,45,14,233
23-May-21,12,46,13,236
24-May-21,17,47,17,244
25-May-21,15,49,16,242
26-May-21,19,50,19,238
27-May-21,16,42,17,234
28-May-21,16,45,19,234
29-May-21,15,43,17,235
30-May-21,15,41,18,233
