date,newHospCase,MV_beds,total_admission,total_beds
01-Aug-20,6,13,8,216
02-Aug-20,4,10,5,194
03-Aug-20,11,10,13,206
04-Aug-20,6,13,8,182
05-Aug-20,12,13,12,181
06-Aug-20,6,14,8,179
07-Aug-20,5,10,5,178
08-Aug-20,9,5,12,96
09-Aug-20,10,6,12,101
10-Aug-20,4,9,4,160
11-Aug-20,6,9,6,154
12-Aug-20,6,9,6,148
13-Aug-20,8,8,16,150
14-Aug-20,12,9,13,141
15-Aug-20,14,9,15,141
16-Aug-20,9,7,11,146
17-Aug-20,12,6,14,157
18-Aug-20,14,6,15,160
19-Aug-20,7,7,9,156
20-Aug-20,11,7,12,145
21-Aug-20,9,6,10,138
22-Aug-20,8,7,9,146
23-Aug-20,8,7,9,149
24-Aug-20,6,8,8,148
25-Aug-20,11,10,12,147
26-Aug-20,8,7,12,140
27-Aug-20,12,10,13,143
28-Aug-20,2,6,2,135
29-Aug-20,10,8,12,133
30-Aug-20,6,11,8,131
31-Aug-20,12,10,15,127
01-Sep-20,9,10,10,123
02-Sep-20,13,9,14,85
03-Sep-20,6,9,7,83
04-Sep-20,14,7,17,81
05-Sep-20,20,8,24,80
06-Sep-20,13,9,19,79
07-Sep-20,15,12,20,96
08-Sep-20,25,13,27,97
09-Sep-20,31,13,32,100
10-Sep-20,27,14,30,107
11-Sep-20,30,15,31,118
12-Sep-20,16,18,22,132
13-Sep-20,26,18,31,151
14-Sep-20,30,21,36,164
15-Sep-20,31,25,33,198
16-Sep-20,31,28,37,189
17-Sep-20,30,26,36,187
18-Sep-20,29,29,39,206
19-Sep-20,40,29,43,221
20-Sep-20,37,37,43,248
21-Sep-20,30,42,30,265
22-Sep-20,55,44,61,278
23-Sep-20,53,49,55,286
24-Sep-20,56,54,59,304
25-Sep-20,58,56,61,346
26-Sep-20,45,48,52,345
27-Sep-20,43,53,48,369
28-Sep-20,55,53,58,382
29-Sep-20,52,52,55,379
30-Sep-20,54,57,57,374
01-Oct-20,57,56,62,391
02-Oct-20,54,63,67,415
03-Oct-20,44,60,53,417
04-Oct-20,61,62,68,447
05-Oct-20,92,70,97,479
06-Oct-20,68,71,78,495
07-Oct-20,68,77,81,517
08-Oct-20,68,78,77,522
09-Oct-20,71,76,87,548
10-Oct-20,71,82,78,549
11-Oct-20,97,81,101,611
12-Oct-20,105,89,109,661
13-Oct-20,156,90,161,667
14-Oct-20,125,96,129,707
15-Oct-20,141,91,146,796
16-Oct-20,129,95,132,843
17-Oct-20,105,91,108,872
18-Oct-20,158,88,165,905
19-Oct-20,168,105,173,"1,003"
20-Oct-20,202,109,208,"1,090"
21-Oct-20,190,122,197,"1,148"
22-Oct-20,223,132,230,"1,230"
23-Oct-20,178,142,181,"1,301"
24-Oct-20,173,149,174,"1,379"
25-Oct-20,213,153,220,"1,449"
26-Oct-20,271,141,278,"1,330"
27-Oct-20,257,171,268,"1,700"
28-Oct-20,224,204,229,"1,935"
29-Oct-20,277,192,288,"1,871"
30-Oct-20,224,193,234,"1,950"
31-Oct-20,238,197,250,"2,010"
01-Nov-20,265,191,274,"1,929"
02-Nov-20,277,197,284,"2,044"
