date,newHospCase,MV_beds,total_admission,total_beds
01-Aug-20,5,9,9,117
02-Aug-20,14,8,14,120
03-Aug-20,23,7,25,115
04-Aug-20,13,7,16,123
05-Aug-20,4,7,6,128
06-Aug-20,13,6,15,132
07-Aug-20,9,7,11,111
08-Aug-20,8,8,8,117
09-Aug-20,12,7,14,117
10-Aug-20,9,5,10,121
11-Aug-20,13,4,14,114
12-Aug-20,13,4,13,108
13-Aug-20,6,4,6,114
14-Aug-20,7,5,8,108
15-Aug-20,7,6,8,102
16-Aug-20,7,6,7,102
17-Aug-20,4,7,8,99
18-Aug-20,6,7,10,90
19-Aug-20,5,7,5,88
20-Aug-20,8,8,10,82
21-Aug-20,8,7,10,82
22-Aug-20,4,6,4,154
23-Aug-20,7,5,7,82
24-Aug-20,8,5,8,83
25-Aug-20,12,6,12,79
26-Aug-20,11,7,12,79
27-Aug-20,10,9,11,83
28-Aug-20,7,9,7,80
29-Aug-20,7,10,7,84
30-Aug-20,9,10,9,82
31-Aug-20,11,10,11,82
01-Sep-20,14,9,14,81
02-Sep-20,7,11,9,84
03-Sep-20,7,11,10,86
04-Sep-20,12,11,13,89
05-Sep-20,8,12,9,89
06-Sep-20,9,13,10,90
07-Sep-20,15,17,17,100
08-Sep-20,23,15,25,84
09-Sep-20,33,14,34,92
10-Sep-20,24,14,29,95
11-Sep-20,27,12,30,117
12-Sep-20,30,14,32,130
13-Sep-20,26,15,29,143
14-Sep-20,36,16,38,155
15-Sep-20,44,18,49,155
16-Sep-20,40,15,41,188
17-Sep-20,55,15,59,208
18-Sep-20,62,18,64,214
19-Sep-20,45,21,50,226
20-Sep-20,65,28,67,254
21-Sep-20,73,33,80,285
22-Sep-20,57,42,58,303
23-Sep-20,83,41,89,313
24-Sep-20,59,43,65,337
25-Sep-20,59,45,64,379
26-Sep-20,59,47,68,393
27-Sep-20,68,52,72,420
28-Sep-20,78,55,82,444
29-Sep-20,97,57,104,429
30-Sep-20,85,65,94,474
01-Oct-20,73,69,88,502
02-Oct-20,91,75,100,544
03-Oct-20,107,77,117,584
04-Oct-20,123,78,126,586
05-Oct-20,110,76,123,673
06-Oct-20,155,81,161,741
07-Oct-20,122,94,140,790
08-Oct-20,108,92,125,836
09-Oct-20,136,90,146,804
10-Oct-20,135,97,145,874
11-Oct-20,168,99,180,940
12-Oct-20,162,104,173,"1,025"
13-Oct-20,171,104,183,"1,054"
14-Oct-20,153,116,167,"1,092"
15-Oct-20,173,118,184,"1,147"
16-Oct-20,140,107,159,"1,169"
17-Oct-20,200,109,210,"1,200"
18-Oct-20,210,113,219,"1,269"
19-Oct-20,208,110,222,"1,362"
20-Oct-20,255,113,274,"1,436"
21-Oct-20,245,109,271,"1,496"
22-Oct-20,230,112,242,"1,574"
23-Oct-20,242,105,254,"1,638"
24-Oct-20,256,113,277,"1,730"
25-Oct-20,303,128,320,"1,851"
26-Oct-20,301,138,323,"2,004"
27-Oct-20,279,147,301,"2,116"
28-Oct-20,342,150,357,"2,204"
29-Oct-20,313,157,337,"2,216"
30-Oct-20,241,148,262,"2,299"
31-Oct-20,295,150,325,"2,482"
01-Nov-20,330,140,348,"2,209"
02-Nov-20,342,167,362,"2,624"
03-Nov-20,338,183,362,"2,721"
04-Nov-20,332,194,351,"2,732"
05-Nov-20,317,197,345,"2,802"
06-Nov-20,303,184,324,"2,798"
07-Nov-20,319,195,337,"3,012"
08-Nov-20,344,197,360,"2,934"
09-Nov-20,373,204,407,"3,057"
10-Nov-20,432,198,464,"2,946"
11-Nov-20,415,210,440,"3,141"
12-Nov-20,341,208,362,"3,228"
13-Nov-20,362,211,381,"3,268"
14-Nov-20,330,216,355,"3,109"
15-Nov-20,354,229,376,"3,327"
16-Nov-20,375,236,402,"3,473"
17-Nov-20,312,249,335,"3,472"
18-Nov-20,341,247,362,"3,417"
19-Nov-20,316,251,345,"3,342"
20-Nov-20,319,246,350,"3,297"
21-Nov-20,266,239,280,"3,270"
22-Nov-20,261,240,275,"3,353"
23-Nov-20,296,244,309,"3,437"
24-Nov-20,264,247,275,"3,245"
25-Nov-20,247,230,264,"3,137"
26-Nov-20,252,223,263,"3,030"
27-Nov-20,219,207,236,"2,932"
28-Nov-20,198,211,220,"2,859"
29-Nov-20,232,204,246,"2,862"
30-Nov-20,228,189,242,"2,876"
01-Dec-20,231,185,241,"2,814"
02-Dec-20,212,186,231,"2,732"
03-Dec-20,229,167,246,"2,551"
04-Dec-20,182,175,198,"2,590"
05-Dec-20,226,169,239,"2,498"
06-Dec-20,219,172,226,"2,545"
07-Dec-20,243,175,256,"2,617"
08-Dec-20,232,173,248,"2,566"
09-Dec-20,235,160,248,"2,526"
10-Dec-20,200,151,214,"2,442"
11-Dec-20,223,149,238,"2,386"
12-Dec-20,242,139,249,"2,309"
13-Dec-20,241,147,256,"2,353"
14-Dec-20,285,145,301,"2,483"
15-Dec-20,249,144,271,"2,482"
16-Dec-20,245,142,260,"2,505"
17-Dec-20,218,145,231,"2,494"
18-Dec-20,216,137,230,"2,396"
19-Dec-20,229,152,248,"2,413"
20-Dec-20,244,149,256,"2,464"
21-Dec-20,263,149,272,"2,530"
22-Dec-20,274,154,294,"2,496"
23-Dec-20,230,148,250,"2,457"
24-Dec-20,179,139,192,"2,359"
25-Dec-20,223,139,234,"2,233"
26-Dec-20,265,149,282,"2,257"
27-Dec-20,284,144,298,"2,328"
28-Dec-20,294,159,309,"2,437"
29-Dec-20,352,156,363,"2,528"
30-Dec-20,298,166,311,"2,573"
31-Dec-20,288,169,300,"2,562"
01-Jan-21,322,179,338,"2,532"
02-Jan-21,294,177,312,"2,624"
03-Jan-21,324,189,335,"2,710"
04-Jan-21,375,192,388,"2,828"
05-Jan-21,367,190,378,"2,860"
06-Jan-21,383,204,399,"2,865"
07-Jan-21,442,208,453,"2,923"
08-Jan-21,349,221,370,"3,217"
09-Jan-21,389,208,407,"2,917"
10-Jan-21,436,236,446,"3,228"
