date,newHospCase,MV_beds,total_admission,total_beds
01-Aug-20,8,15,11,191
02-Aug-20,7,15,12,188
03-Aug-20,17,13,19,181
04-Aug-20,10,13,11,181
05-Aug-20,11,13,12,183
06-Aug-20,10,13,13,160
07-Aug-20,14,13,17,160
08-Aug-20,17,14,41,154
09-Aug-20,9,14,10,136
10-Aug-20,8,18,11,161
11-Aug-20,13,21,13,154
12-Aug-20,7,23,9,145
13-Aug-20,7,19,12,149
14-Aug-20,4,18,7,148
15-Aug-20,3,21,4,138
16-Aug-20,2,20,3,137
17-Aug-20,8,17,9,118
18-Aug-20,9,16,10,113
19-Aug-20,19,18,22,105
20-Aug-20,1,19,6,106
21-Aug-20,8,19,13,102
22-Aug-20,1,19,1,108
23-Aug-20,9,18,9,103
24-Aug-20,5,18,9,99
25-Aug-20,7,14,8,98
26-Aug-20,7,12,12,81
27-Aug-20,21,14,23,89
28-Aug-20,9,12,12,89
29-Aug-20,15,11,15,103
30-Aug-20,9,10,11,102
31-Aug-20,11,12,14,114
01-Sep-20,13,17,17,119
02-Sep-20,18,17,21,116
03-Sep-20,19,16,23,130
04-Sep-20,9,16,14,133
05-Sep-20,20,13,25,136
06-Sep-20,25,12,33,142
07-Sep-20,26,15,31,167
08-Sep-20,16,16,20,169
09-Sep-20,22,14,26,176
10-Sep-20,37,13,43,177
11-Sep-20,34,16,41,184
12-Sep-20,45,19,46,201
13-Sep-20,43,18,51,198
14-Sep-20,44,23,47,257
15-Sep-20,48,25,62,274
16-Sep-20,50,29,54,292
17-Sep-20,53,32,58,314
18-Sep-20,37,34,44,315
19-Sep-20,48,33,52,340
20-Sep-20,62,39,66,359
21-Sep-20,88,40,92,398
22-Sep-20,73,46,80,424
23-Sep-20,87,56,97,461
24-Sep-20,69,60,80,506
25-Sep-20,62,69,71,540
26-Sep-20,61,77,66,560
27-Sep-20,65,68,73,562
28-Sep-20,96,74,110,631
29-Sep-20,78,82,82,637
30-Sep-20,92,91,101,686
01-Oct-20,119,89,128,688
02-Oct-20,119,93,122,704
03-Oct-20,121,91,130,758
04-Oct-20,201,95,208,852
05-Oct-20,134,104,141,930
06-Oct-20,181,108,185,"1,043"
07-Oct-20,139,115,145,"1,077"
08-Oct-20,171,117,178,"1,146"
09-Oct-20,170,122,180,"1,158"
10-Oct-20,171,133,177,"1,213"
11-Oct-20,195,132,209,"1,274"
12-Oct-20,216,132,220,"1,304"
13-Oct-20,235,140,244,"1,460"
14-Oct-20,219,135,223,"1,554"
15-Oct-20,253,149,258,"1,610"
16-Oct-20,192,152,196,"1,710"
17-Oct-20,264,160,272,"1,772"
18-Oct-20,270,161,276,"1,849"
19-Oct-20,222,167,230,"1,884"
20-Oct-20,235,186,241,"2,099"
21-Oct-20,244,185,252,"2,097"
22-Oct-20,238,178,243,"2,017"
23-Oct-20,263,190,275,"2,200"
24-Oct-20,266,203,278,"2,269"
25-Oct-20,328,200,335,"2,396"
26-Oct-20,282,215,294,"2,495"
27-Oct-20,302,212,314,"2,566"
28-Oct-20,312,210,323,"2,603"
29-Oct-20,333,213,340,"2,676"
30-Oct-20,249,210,256,"2,593"
31-Oct-20,274,211,280,"2,752"
01-Nov-20,292,209,293,"2,800"
02-Nov-20,277,231,288,"2,883"
03-Nov-20,266,238,277,"2,946"
04-Nov-20,306,257,312,"2,956"
05-Nov-20,241,233,247,"2,815"
06-Nov-20,198,256,207,"2,968"
07-Nov-20,242,262,255,"2,883"
08-Nov-20,290,251,298,"2,953"
09-Nov-20,255,259,262,"3,042"
10-Nov-20,286,229,297,"2,876"
11-Nov-20,301,261,314,"3,044"
12-Nov-20,292,267,306,"3,023"
13-Nov-20,220,280,235,"3,042"
14-Nov-20,218,266,224,"3,011"
15-Nov-20,223,259,232,"3,063"
16-Nov-20,277,270,287,"3,158"
17-Nov-20,273,258,278,"3,097"
18-Nov-20,238,254,249,"3,061"
19-Nov-20,216,244,226,"3,025"
20-Nov-20,173,240,180,"2,859"
21-Nov-20,182,228,185,"2,769"
22-Nov-20,210,233,216,"2,794"
23-Nov-20,171,234,181,"2,810"
24-Nov-20,170,229,184,"2,811"
25-Nov-20,205,228,216,"2,700"
26-Nov-20,176,221,188,"2,607"
27-Nov-20,179,203,188,"2,551"
28-Nov-20,143,191,151,"2,355"
29-Nov-20,180,198,193,"2,510"
30-Nov-20,168,199,178,"2,572"
01-Dec-20,199,194,213,"2,517"
02-Dec-20,147,186,156,"2,368"
03-Dec-20,167,178,172,"2,434"
04-Dec-20,161,181,174,"2,368"
05-Dec-20,148,181,159,"2,302"
06-Dec-20,176,167,182,"2,247"
