date,newHospCase,MV_beds,total_admission,total_beds
01-Aug-20,12,12,14,123
02-Aug-20,3,15,5,122
03-Aug-20,3,12,4,122
04-Aug-20,5,9,9,111
05-Aug-20,11,9,12,106
06-Aug-20,2,8,2,78
07-Aug-20,5,8,6,77
08-Aug-20,6,7,7,80
09-Aug-20,2,8,4,72
10-Aug-20,3,8,4,82
11-Aug-20,3,8,3,68
12-Aug-20,12,7,13,59
13-Aug-20,7,9,10,63
14-Aug-20,6,10,9,72
15-Aug-20,3,9,3,72
16-Aug-20,5,9,5,71
17-Aug-20,5,9,5,69
18-Aug-20,6,9,6,70
19-Aug-20,7,8,7,65
20-Aug-20,2,8,4,64
21-Aug-20,2,9,2,64
22-Aug-20,4,8,5,51
23-Aug-20,7,8,8,53
24-Aug-20,6,9,8,54
25-Aug-20,5,9,9,50
26-Aug-20,4,6,7,48
27-Aug-20,9,6,12,47
28-Aug-20,5,7,7,39
29-Aug-20,5,5,5,37
30-Aug-20,2,3,2,39
31-Aug-20,4,3,6,42
01-Sep-20,6,4,7,39
02-Sep-20,12,4,12,38
03-Sep-20,8,5,8,39
04-Sep-20,9,6,9,43
05-Sep-20,6,4,6,40
06-Sep-20,7,3,8,44
07-Sep-20,3,3,4,53
08-Sep-20,8,3,9,47
09-Sep-20,16,2,17,48
10-Sep-20,10,3,10,53
11-Sep-20,10,2,11,59
12-Sep-20,12,3,12,63
13-Sep-20,12,3,12,61
14-Sep-20,8,3,9,71
15-Sep-20,5,3,7,78
16-Sep-20,13,5,13,64
17-Sep-20,8,6,8,72
18-Sep-20,8,5,9,82
19-Sep-20,16,4,16,74
20-Sep-20,9,3,9,79
21-Sep-20,14,4,14,91
22-Sep-20,13,5,15,87
23-Sep-20,24,7,24,94
24-Sep-20,12,5,15,104
25-Sep-20,18,4,18,110
26-Sep-20,11,6,14,102
27-Sep-20,6,4,6,114
28-Sep-20,12,5,13,117
29-Sep-20,14,4,14,103
30-Sep-20,21,5,22,103
01-Oct-20,15,8,16,98
02-Oct-20,12,8,12,109
03-Oct-20,18,8,19,100
04-Oct-20,16,8,18,108
05-Oct-20,18,8,21,119
06-Oct-20,23,11,25,121
07-Oct-20,40,12,41,134
08-Oct-20,35,12,36,144
09-Oct-20,32,10,34,162
10-Oct-20,27,10,30,163
11-Oct-20,26,8,27,175
12-Oct-20,37,10,37,189
13-Oct-20,48,10,48,204
14-Oct-20,37,10,38,225
15-Oct-20,51,12,52,233
16-Oct-20,31,12,33,263
17-Oct-20,32,11,34,279
18-Oct-20,40,11,40,228
19-Oct-20,51,18,51,326
20-Oct-20,36,18,37,325
21-Oct-20,64,19,65,358
22-Oct-20,77,17,77,339
23-Oct-20,66,17,70,405
24-Oct-20,64,19,65,456
25-Oct-20,65,20,67,477
26-Oct-20,86,15,86,483
27-Oct-20,82,23,84,528
28-Oct-20,79,25,81,541
29-Oct-20,100,27,103,566
30-Oct-20,83,34,84,589
31-Oct-20,97,35,98,617
01-Nov-20,88,36,88,665
02-Nov-20,114,42,115,713
03-Nov-20,80,41,81,711
04-Nov-20,107,47,109,751
05-Nov-20,136,48,140,770
06-Nov-20,104,45,107,783
07-Nov-20,145,44,150,821
08-Nov-20,135,50,137,820
09-Nov-20,130,53,137,947
10-Nov-20,109,52,110,958
11-Nov-20,140,60,149,"1,011"
12-Nov-20,179,58,181,967
13-Nov-20,89,86,97,"1,066"
14-Nov-20,126,84,132,"1,122"
15-Nov-20,124,83,130,"1,173"
16-Nov-20,136,82,139,"1,182"
17-Nov-20,135,88,141,"1,205"
18-Nov-20,159,93,164,"1,227"
19-Nov-20,191,96,201,"1,246"
20-Nov-20,136,94,145,"1,272"
21-Nov-20,165,96,174,"1,300"
22-Nov-20,143,96,144,"1,313"
23-Nov-20,156,97,158,"1,395"
24-Nov-20,145,111,148,"1,403"
25-Nov-20,163,114,166,"1,437"
26-Nov-20,130,110,136,"1,397"
27-Nov-20,117,113,124,"1,429"
28-Nov-20,144,115,147,"1,420"
29-Nov-20,161,111,164,"1,430"
30-Nov-20,144,120,152,"1,494"
01-Dec-20,130,118,134,"1,423"
02-Dec-20,177,117,179,"1,481"
03-Dec-20,204,110,208,"1,442"
04-Dec-20,168,107,175,"1,426"
05-Dec-20,185,109,187,"1,496"
06-Dec-20,193,105,195,"1,549"
07-Dec-20,199,107,204,"1,619"
08-Dec-20,198,113,203,"1,692"
09-Dec-20,216,119,232,"1,726"
10-Dec-20,252,120,259,"1,796"
11-Dec-20,231,120,235,"1,859"
12-Dec-20,254,125,262,"1,945"
13-Dec-20,254,125,258,"1,975"
14-Dec-20,243,143,249,"2,118"
15-Dec-20,264,150,271,"2,141"
16-Dec-20,328,151,337,"2,195"
17-Dec-20,302,159,309,"2,282"
18-Dec-20,292,165,300,"2,372"
19-Dec-20,368,168,379,"2,321"
20-Dec-20,339,183,347,"2,554"
21-Dec-20,349,196,354,"2,749"
22-Dec-20,357,197,368,"2,848"
23-Dec-20,307,209,321,"2,868"
24-Dec-20,320,217,327,"2,997"
25-Dec-20,322,220,329,"2,925"
26-Dec-20,414,229,421,"3,126"
27-Dec-20,502,247,515,"3,370"
28-Dec-20,405,258,423,"3,544"
29-Dec-20,496,284,504,"3,796"
30-Dec-20,542,290,552,"3,949"
31-Dec-20,394,301,404,"4,022"
01-Jan-21,626,324,638,"4,034"
02-Jan-21,586,333,591,"4,231"
03-Jan-21,657,346,665,"4,501"
04-Jan-21,651,356,657,"4,730"
05-Jan-21,624,364,637,"4,379"
06-Jan-21,706,394,716,"4,902"
07-Jan-21,644,417,661,"5,023"
08-Jan-21,629,421,641,"5,074"
09-Jan-21,644,432,656,"5,161"
10-Jan-21,573,430,583,"5,373"
11-Jan-21,585,433,607,"5,467"
12-Jan-21,607,474,630,"5,546"
13-Jan-21,603,492,622,"5,577"
14-Jan-21,560,489,582,"5,487"
15-Jan-21,454,497,472,"5,528"
16-Jan-21,469,512,490,"5,419"
17-Jan-21,502,506,520,"5,387"
18-Jan-21,509,514,526,"5,493"
19-Jan-21,508,531,538,"5,509"
20-Jan-21,532,519,558,"5,397"
21-Jan-21,484,478,501,"5,033"
22-Jan-21,380,532,397,"5,337"
23-Jan-21,436,523,453,"5,200"
24-Jan-21,373,525,385,"5,207"
25-Jan-21,366,522,372,"5,237"
26-Jan-21,373,495,394,"5,040"
27-Jan-21,384,477,400,"4,811"
28-Jan-21,370,466,390,"4,614"
29-Jan-21,294,458,307,"4,443"
30-Jan-21,327,458,349,"4,347"
31-Jan-21,299,455,315,"4,213"
01-Feb-21,320,470,335,"4,344"
02-Feb-21,277,455,297,"4,143"
03-Feb-21,278,448,298,"3,836"
04-Feb-21,233,443,249,"3,632"
05-Feb-21,216,427,235,"3,475"
06-Feb-21,208,395,226,"3,222"
07-Feb-21,193,390,206,"3,175"
08-Feb-21,225,380,234,"3,165"
09-Feb-21,192,370,200,"3,018"
10-Feb-21,189,364,208,"2,831"
11-Feb-21,155,354,171,"2,710"
12-Feb-21,163,344,183,"2,561"
13-Feb-21,151,292,167,"2,261"
14-Feb-21,208,339,218,"2,455"
15-Feb-21,133,322,144,"2,451"
16-Feb-21,194,312,215,"2,342"
17-Feb-21,167,305,183,"2,349"
18-Feb-21,142,295,155,"2,116"
19-Feb-21,143,270,155,"2,025"
20-Feb-21,95,258,113,"1,902"
21-Feb-21,146,249,160,"1,875"
22-Feb-21,89,234,113,"1,860"
23-Feb-21,116,249,130,"1,859"
24-Feb-21,124,232,137,"1,686"
25-Feb-21,104,227,110,"1,624"
26-Feb-21,77,219,94,"1,548"
27-Feb-21,61,196,75,"1,451"
28-Feb-21,73,190,82,"1,413"
01-Mar-21,92,191,99,"1,354"
02-Mar-21,79,174,89,"1,248"
03-Mar-21,67,160,76,"1,184"
04-Mar-21,76,152,77,"1,116"
05-Mar-21,57,142,69,"1,063"
06-Mar-21,67,131,71,"1,000"
07-Mar-21,64,129,65,972
08-Mar-21,54,127,58,983
09-Mar-21,56,118,59,937
10-Mar-21,62,115,67,883
11-Mar-21,54,105,55,846
12-Mar-21,43,97,46,798
