date,newHospCase,MV_beds,total_admission,total_beds
01-Aug-20,0,0,1,21
02-Aug-20,3,0,4,23
03-Aug-20,4,0,4,23
04-Aug-20,3,0,4,23
05-Aug-20,1,0,1,26
06-Aug-20,2,0,3,22
07-Aug-20,2,0,4,20
08-Aug-20,1,0,2,18
09-Aug-20,0,0,0,19
10-Aug-20,2,0,4,20
11-Aug-20,2,0,2,16
12-Aug-20,4,0,4,15
13-Aug-20,1,0,1,15
14-Aug-20,2,0,2,18
15-Aug-20,1,0,2,17
16-Aug-20,1,1,2,24
17-Aug-20,1,1,3,19
18-Aug-20,5,1,5,19
19-Aug-20,2,2,4,18
20-Aug-20,4,1,5,18
21-Aug-20,3,1,6,18
22-Aug-20,1,1,1,22
23-Aug-20,1,2,1,20
24-Aug-20,1,2,2,18
25-Aug-20,0,2,2,17
26-Aug-20,0,2,0,17
27-Aug-20,2,2,2,15
28-Aug-20,0,2,2,14
29-Aug-20,2,3,2,18
30-Aug-20,0,2,1,17
31-Aug-20,0,2,0,18
01-Sep-20,2,2,2,15
02-Sep-20,3,2,4,13
03-Sep-20,0,2,1,12
04-Sep-20,1,1,1,12
05-Sep-20,1,1,1,11
06-Sep-20,2,1,2,14
07-Sep-20,2,1,2,14
08-Sep-20,4,1,5,13
09-Sep-20,3,1,5,14
10-Sep-20,6,2,7,15
11-Sep-20,1,2,3,14
12-Sep-20,1,2,1,19
13-Sep-20,2,2,3,17
14-Sep-20,0,1,0,17
15-Sep-20,3,1,4,15
16-Sep-20,4,1,5,19
17-Sep-20,2,1,4,14
18-Sep-20,3,2,4,16
19-Sep-20,5,1,7,20
20-Sep-20,7,1,8,25
21-Sep-20,8,1,8,29
22-Sep-20,7,2,8,34
23-Sep-20,4,2,6,38
24-Sep-20,5,3,9,35
25-Sep-20,6,3,8,36
26-Sep-20,2,2,5,37
27-Sep-20,3,2,4,40
28-Sep-20,2,1,4,38
29-Sep-20,7,2,9,42
30-Sep-20,4,2,5,35
01-Oct-20,10,2,13,36
02-Oct-20,10,2,14,39
03-Oct-20,9,2,10,50
04-Oct-20,11,3,15,57
05-Oct-20,17,4,20,63
06-Oct-20,18,6,21,64
07-Oct-20,20,6,21,70
08-Oct-20,29,6,35,69
09-Oct-20,17,4,23,83
10-Oct-20,18,5,18,94
11-Oct-20,28,8,34,99
12-Oct-20,31,10,32,110
13-Oct-20,22,11,23,112
14-Oct-20,46,15,46,122
15-Oct-20,31,16,33,127
16-Oct-20,22,17,22,156
17-Oct-20,34,20,37,163
18-Oct-20,31,21,34,168
19-Oct-20,49,19,52,198
20-Oct-20,38,21,43,217
21-Oct-20,45,19,48,225
22-Oct-20,34,19,36,245
23-Oct-20,33,21,36,257
24-Oct-20,46,21,46,264
25-Oct-20,64,21,64,271
26-Oct-20,85,22,88,310
27-Oct-20,61,30,63,342
28-Oct-20,67,33,69,380
29-Oct-20,65,34,69,401
30-Oct-20,73,33,80,418
31-Oct-20,95,40,99,453
01-Nov-20,74,42,76,461
02-Nov-20,88,50,91,511
03-Nov-20,82,57,86,534
04-Nov-20,98,60,102,539
05-Nov-20,98,67,105,555
06-Nov-20,93,60,103,582
07-Nov-20,105,51,110,629
08-Nov-20,109,57,111,678
09-Nov-20,108,56,109,719
10-Nov-20,74,57,79,765
11-Nov-20,127,57,135,797
12-Nov-20,167,58,170,814
13-Nov-20,121,58,129,848
14-Nov-20,101,58,105,891
15-Nov-20,117,64,120,930
16-Nov-20,103,51,105,896
17-Nov-20,119,58,127,891
18-Nov-20,119,69,127,990
19-Nov-20,83,61,94,"1,001"
20-Nov-20,84,65,95,"1,008"
21-Nov-20,91,64,103,964
22-Nov-20,115,62,117,986
23-Nov-20,115,72,122,"1,025"
24-Nov-20,95,70,103,"1,038"
25-Nov-20,116,75,121,"1,020"
26-Nov-20,98,67,101,"1,017"
27-Nov-20,84,66,87,996
28-Nov-20,95,62,100,899
29-Nov-20,88,64,94,988
30-Nov-20,81,61,84,"1,016"
01-Dec-20,69,66,78,971
02-Dec-20,93,61,97,926
03-Dec-20,82,58,87,906
04-Dec-20,64,60,69,905
05-Dec-20,78,57,83,877
06-Dec-20,89,58,92,887
07-Dec-20,112,54,114,912
08-Dec-20,78,55,85,907
09-Dec-20,125,55,131,913
10-Dec-20,99,53,104,901
11-Dec-20,100,51,103,913
12-Dec-20,93,46,103,843
13-Dec-20,113,53,118,946
14-Dec-20,121,56,125,"1,005"
15-Dec-20,101,57,112,"1,005"
16-Dec-20,101,58,105,"1,021"
17-Dec-20,127,54,133,"1,025"
18-Dec-20,80,56,90,"1,026"
19-Dec-20,84,57,91,"1,051"
20-Dec-20,102,60,106,"1,076"
21-Dec-20,112,62,112,"1,112"
22-Dec-20,126,56,130,"1,102"
23-Dec-20,101,62,103,"1,108"
24-Dec-20,88,62,91,"1,106"
25-Dec-20,97,58,101,"1,031"
26-Dec-20,108,56,114,"1,045"
27-Dec-20,110,51,113,"1,058"
28-Dec-20,151,59,163,"1,103"
29-Dec-20,140,58,148,"1,124"
