areaName,date,areaCode,dailyCases,cumulativeCases
England,2023-11-08,E92000001,388,21000649
England,2023-11-07,E92000001,681,21000261
England,2023-11-06,E92000001,740,20999580
England,2023-11-05,E92000001,656,20998840
England,2023-11-04,E92000001,578,20998184
England,2023-11-03,E92000001,721,20997606
England,2023-11-02,E92000001,782,20996885
England,2023-11-01,E92000001,851,20996103
England,2023-10-31,E92000001,922,20995252
England,2023-10-30,E92000001,995,20994330
England,2023-10-29,E92000001,845,20993335
England,2023-10-28,E92000001,731,20992490
England,2023-10-27,E92000001,927,20991759
England,2023-10-26,E92000001,1005,20990832
England,2023-10-25,E92000001,1005,20989827
England,2023-10-24,E92000001,1145,20988822
England,2023-10-23,E92000001,1168,20987677
England,2023-10-22,E92000001,984,20986509
England,2023-10-21,E92000001,864,20985525
England,2023-10-20,E92000001,1142,20984661
England,2023-10-19,E92000001,1318,20983519
England,2023-10-18,E92000001,1392,20982201
England,2023-10-17,E92000001,1404,20980809
England,2023-10-16,E92000001,1443,20979405
England,2023-10-15,E92000001,1217,20977962
England,2023-10-14,E92000001,1117,20976745
England,2023-10-13,E92000001,1464,20975628
England,2023-10-12,E92000001,1536,20974164
England,2023-10-11,E92000001,1893,20972628
England,2023-10-10,E92000001,2023,20970735
England,2023-10-09,E92000001,2232,20968712
England,2023-10-08,E92000001,2066,20966480
England,2023-10-07,E92000001,1664,20964414
England,2023-10-06,E92000001,2112,20962750
England,2023-10-05,E92000001,2250,20960638
England,2023-10-04,E92000001,2445,20958388
England,2023-10-03,E92000001,2657,20955943
England,2023-10-02,E92000001,2643,20953286
England,2023-10-01,E92000001,2360,20950643
England,2023-09-30,E92000001,1928,20948283
England,2023-09-29,E92000001,2124,20946355
England,2023-09-28,E92000001,2317,20944231
England,2023-09-27,E92000001,2667,20941914
England,2023-09-26,E92000001,2698,20939247
England,2023-09-25,E92000001,2561,20936549
England,2023-09-24,E92000001,2007,20933988
England,2023-09-23,E92000001,1555,20931981
England,2023-09-22,E92000001,1680,20930426
England,2023-09-21,E92000001,1825,20928746
England,2023-09-20,E92000001,1893,20926921
England,2023-09-19,E92000001,1948,20925028
England,2023-09-18,E92000001,1930,20923080
England,2023-09-17,E92000001,1604,20921150
England,2023-09-16,E92000001,1318,20919546
England,2023-09-15,E92000001,1340,20918228
England,2023-09-14,E92000001,1531,20916888
England,2023-09-13,E92000001,1522,20915357
England,2023-09-12,E92000001,1675,20913835
England,2023-09-11,E92000001,1823,20912160
England,2023-09-10,E92000001,1580,20910337
England,2023-09-09,E92000001,1334,20908757
England,2023-09-08,E92000001,1548,20907423
England,2023-09-07,E92000001,1707,20905875
England,2023-09-06,E92000001,1859,20904168
England,2023-09-05,E92000001,1891,20902309
England,2023-09-04,E92000001,1969,20900418
England,2023-09-03,E92000001,1637,20898449
England,2023-09-02,E92000001,1327,20896812
England,2023-09-01,E92000001,1512,20895485
England,2023-08-31,E92000001,1446,20893973
England,2023-08-30,E92000001,1488,20892527
England,2023-08-29,E92000001,1368,20891039
England,2023-08-28,E92000001,1089,20889671
England,2023-08-27,E92000001,901,20888582
England,2023-08-26,E92000001,856,20887681
England,2023-08-25,E92000001,988,20886825
England,2023-08-24,E92000001,1098,20885837
England,2023-08-23,E92000001,1096,20884739
England,2023-08-22,E92000001,1177,20883643
England,2023-08-21,E92000001,1182,20882466
England,2023-08-20,E92000001,963,20881284
England,2023-08-19,E92000001,848,20880321
England,2023-08-18,E92000001,991,20879473
England,2023-08-17,E92000001,1047,20878482
England,2023-08-16,E92000001,1069,20877435
England,2023-08-15,E92000001,1092,20876366
England,2023-08-14,E92000001,1098,20875274
England,2023-08-13,E92000001,976,20874176
England,2023-08-12,E92000001,853,20873200
England,2023-08-11,E92000001,919,20872347
England,2023-08-10,E92000001,989,20871428
England,2023-08-09,E92000001,1033,20870439
England,2023-08-08,E92000001,1088,20869406
England,2023-08-07,E92000001,1021,20868318
England,2023-08-06,E92000001,827,20867297
England,2023-08-05,E92000001,681,20866470
England,2023-08-04,E92000001,771,20865789
England,2023-08-03,E92000001,807,20865018
England,2023-08-02,E92000001,823,20864211
England,2023-08-01,E92000001,846,20863388
England,2023-07-31,E92000001,847,20862542
England,2023-07-30,E92000001,752,20861695
England,2023-07-29,E92000001,629,20860943
England,2023-07-28,E92000001,625,20860314
England,2023-07-27,E92000001,629,20859689
England,2023-07-26,E92000001,622,20859060
England,2023-07-25,E92000001,647,20858438
England,2023-07-24,E92000001,630,20857791
England,2023-07-23,E92000001,495,20857161
England,2023-07-22,E92000001,412,20856666
England,2023-07-21,E92000001,444,20856254
England,2023-07-20,E92000001,497,20855810
England,2023-07-19,E92000001,468,20855313
England,2023-07-18,E92000001,517,20854845
England,2023-07-17,E92000001,491,20854328
England,2023-07-16,E92000001,384,20853837
England,2023-07-15,E92000001,338,20853453
England,2023-07-14,E92000001,340,20853115
England,2023-07-13,E92000001,417,20852775
England,2023-07-12,E92000001,418,20852358
England,2023-07-11,E92000001,450,20851940
England,2023-07-10,E92000001,457,20851490
England,2023-07-09,E92000001,391,20851033
England,2023-07-08,E92000001,308,20850642
England,2023-07-07,E92000001,350,20850334
England,2023-07-06,E92000001,316,20849984
England,2023-07-05,E92000001,344,20849668
England,2023-07-04,E92000001,309,20849324
England,2023-07-03,E92000001,346,20849015
England,2023-07-02,E92000001,264,20848669
England,2023-07-01,E92000001,209,20848405
England,2023-06-30,E92000001,236,20848196
England,2023-06-29,E92000001,253,20847960
England,2023-06-28,E92000001,298,20847707
England,2023-06-27,E92000001,295,20847409
England,2023-06-26,E92000001,306,20847114
England,2023-06-25,E92000001,303,20846808
England,2023-06-24,E92000001,259,20846505
England,2023-06-23,E92000001,289,20846246
England,2023-06-22,E92000001,346,20845957
England,2023-06-21,E92000001,371,20845611
England,2023-06-20,E92000001,396,20845240
