date,covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,population,openstreetmap_id,latitude,longitude,year,month,day,day_of_week,Vax_index,covidOccupiedMVBeds_rolling_mean_7,covidOccupiedMVBeds_rolling_std_7,covidOccupiedMVBeds_rolling_mean_14,covidOccupiedMVBeds_rolling_std_14,hospitalCases_rolling_mean_7,hospitalCases_rolling_std_7,hospitalCases_rolling_mean_14,hospitalCases_rolling_std_14,newAdmissions_rolling_mean_7,newAdmissions_rolling_std_7,newAdmissions_rolling_mean_14,newAdmissions_rolling_std_14,Vax_index_rolling_mean_7,Vax_index_rolling_std_7,Vax_index_rolling_mean_14,Vax_index_rolling_std_14,new_confirmed_rolling_mean_7,new_confirmed_rolling_std_7,new_confirmed_rolling_mean_14,new_confirmed_rolling_std_14
2020-04-01,0.0,23332.0,12059.0,3099.0,3989.0,694.0,35571.0,4730.0,56171304.0,151336.0,52.24,0.41,2020.0,4.0,1.0,2.0,0.33,,,,,,,,,,,,,,,,,,,,
2020-04-02,1494.0,26264.0,12135.0,2932.0,3895.0,725.0,39466.0,5455.0,56171304.0,151336.0,52.24,0.41,2020.0,4.0,2.0,3.0,0.33,,,,,,,,,,,,,,,,,,,,
2020-04-03,1788.0,28828.0,13635.0,2564.0,3878.0,737.0,43344.0,6192.0,56171304.0,151336.0,52.24,0.41,2020.0,4.0,3.0,4.0,0.33,,,,,,,,,,,,,,,,,,,,
2020-04-04,1950.0,31421.0,15469.0,2593.0,3260.0,828.0,46604.0,7020.0,56171304.0,151336.0,52.24,0.41,2020.0,4.0,4.0,5.0,0.33,,,,,,,,,,,,,,,,,,,,
2020-04-05,2097.0,34013.0,16657.0,2592.0,2994.0,823.0,49598.0,7843.0,56171304.0,151336.0,52.24,0.41,2020.0,4.0,5.0,6.0,0.33,,,,,,,,,,,,,,,,,,,,
2020-04-06,2264.0,36692.0,17154.0,2679.0,4170.0,795.0,53768.0,8638.0,56171304.0,151336.0,52.24,0.41,2020.0,4.0,6.0,0.0,0.33,,,,,,,,,,,,,,,,,,,,
2020-04-07,2472.0,39436.0,17814.0,2744.0,4359.0,902.0,58127.0,9540.0,56171304.0,151336.0,52.24,0.41,2020.0,4.0,7.0,1.0,0.33,1723.5714,823.65845,,,14989.0,2389.0027,,,2743.2856,201.61656,,,0.33,0.0,,,3792.1428,490.07056,,
2020-04-08,2561.0,42055.0,18152.0,2619.0,4093.0,971.0,62220.0,10511.0,56171304.0,151336.0,52.24,0.41,2020.0,4.0,8.0,2.0,0.33,2089.4285,379.49698,,,15859.429,2249.45,,,2674.7144,129.03192,,,0.33,0.0,,,3807.0,498.53653,,
2020-04-09,2546.0,44395.0,18423.0,2340.0,3892.0,865.0,66112.0,11376.0,56171304.0,151336.0,52.24,0.41,2020.0,4.0,9.0,3.0,0.33,2239.7144,305.4858,,,16757.715,1703.5387,,,2590.1428,126.27144,,,0.33,0.0,,,3806.5715,498.44955,,
2020-04-10,2820.0,46591.0,18669.0,2196.0,3428.0,847.0,69540.0,12223.0,56171304.0,151336.0,52.24,0.41,2020.0,4.0,10.0,4.0,0.33,2387.1428,300.13022,,,17476.857,1132.3844,,,2537.5715,196.2081,,,0.33,0.0,,,3742.2856,516.39734,,
2020-04-11,2865.0,48546.0,18604.0,1955.0,2905.0,855.0,72445.0,13078.0,56171304.0,151336.0,52.24,0.41,2020.0,4.0,11.0,5.0,0.33,2517.8572,276.32074,,,17924.715,766.88715,,,2446.4285,291.3056,,,0.33,0.0,,,3691.5715,584.5856,,
